Performance Statistics   2017-03-17 15:57:00 - 2017-03-17 15:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0.3           0           9         1.3          60
Messages.searchFiles                                     1.0           0          60         7.7          60

Performance Statistics   2017-03-17 15:58:00 - 2017-03-17 15:59:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                              29.0          29          29         0.0           1
LoadClass                                                1.0           0           2         0.9           7
MenuItem.sec$User.browse                              2824.0        2824        2824         0.0           1
Messages.searchClasspath                                 0.1           0          10         0.9         792
Messages.searchFiles                                     0.0           0           5         0.3         792
Metadata.replaceExtendedMetaClasses                      6.5           2          11         4.5           2
PersistenceSecurity.applyConstraints(..)                 9.5           3          22         7.4           4
QueryParser.getEntityAlias()                             2.4           0           6         2.3           5
QueryParser.getEntityName()                             22.5           0         464        92.1          24
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.5           0           4         1.1          20
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.6           0          11         2.4          20
QueryParser.getParamNames()                              0.5           0           6         1.3          24
QueryParser.hasIsNullCondition(..)                      12.3           0          44        18.4           4
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           4
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           4
QueryTransformer.addFirstSelectionSource(..)             0.3           0           1         0.4           4
QueryTransformer.addWhereAsIs(..)                        0.8           0           2         0.8           4
QueryTransformer.getResult()                             1.5           0           3         1.5           4
QueryTransformer.replaceWithSelectEntityVariable(..)         3.3           1           5         1.5           4
SearchFolders                                           60.0          60          60         0.0           1
Security.isEntityAttrReadPermitted(..)                   0.0           0           1         0.2         158
Security.isEntityOpPermitted(..)                         0.3           0           1         0.4           4
ViewRepository.init.ViewRepositoryClientImpl           163.0         163         163         0.0           1
ViewRepository.init.ViewRepositoryImpl                  58.0          58          58         0.0           1

Performance Statistics   2017-03-17 15:59:00 - 2017-03-17 16:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.6           0           2         0.7           7
Messages.searchClasspath                                 0.0           0           1         0.1         154
Messages.searchFiles                                     0.0           0           0         0.0         154
PersistenceSecurity.applyConstraints(..)                 2.0           2           2         0.0           2
QueryParser.getEntityAlias()                             0.0           0           0         0.0           1
QueryParser.getEntityName()                              0.7           0           1         0.5          12
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          10
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          10
QueryParser.getParamNames()                              0.2           0           3         0.8          12
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           1
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           2
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           2
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           2
QueryTransformer.addWhereAsIs(..)                        0.0           0           0         0.0           2
QueryTransformer.getResult()                             0.0           0           0         0.0           2
QueryTransformer.replaceWithSelectEntityVariable(..)         0.5           0           1         0.5           2
Security.isEntityAttrReadPermitted(..)                   0.0           0           1         0.1         107
Security.isEntityAttrUpdatePermitted(..)                 0.0           0           0         0.0           5
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           3

